汉语原文	人工翻译结果
教堂墓地里，一些坟墓上方摆着有趣的大理石鸽子雕塑。	ཆོས་ཁང་གི་དུར་སའི་ནང་དུ་དུར་ཁྲོད་ཁ་ཤས་ཀྱི་སྟེང་དུ་སྤྲོ་སྣང་ལྡན་པའི་རྡོ་ཀ་མ་རུའི་ཕུག་རོན་གྱི་འཇིམ་བརྐོས་བཞག་ཡོད།
在这个迷人的村庄漫步半小时是值得的。	ཡིད་དབང་འཕྲོག་པའི་གྲོང་ཚོ་འདིར་ཆུ་ཚོད་ཕྱེད་ཀ་ཙམ་འཆམ་འཆམ་དུ་འགྲོ་བ་ནི་བྱེད་རིན་ཡོད་པ་ཞིག་རེད།
向北可轻松抵达浪漫迷人的辛特拉镇；它是拜伦勋爵笔下为人称道的乐土，并因此为外国人所熟知。	བྱང་ཕྱོགས་སུ་བག་ཕེབས་ངང་འཆར་ཡན་ཡིད་དབང་འཕྲོག་པའི་ཤིན་ཐེ་ལ་གྲོང་རྡལ་དུ་འབྱོར་གྱི་ཡོད། དེ་ནི་པའེ་ལུན་ཤུན་ཅུའེ་ཡིས་བྲིས་པའི་མི་རྣམས་ཀྱིས་བསྔགས་བརྗོད་བྱེད་པའི་རོལ་དབྱངས་ཀྱི་ཞིང་ཁམས་ཤིག་ཡིན་པ། དེའི་རྐྱེན་གྱིས་ཕྱི་རྒྱལ་ནས་མིང་གྲགས་ཆེ་བ་ཞིག་རེད།
当地政府警告核电站附近的居民，要待在室内，关掉空调，不要喝自来水。	ས་གནས་དེ་གའི་སྲིད་གཞུང་གིས་ཉིང་རྡུལ་གློག་ཁང་ཉེ་འགྲམ་གྱི་ཡུལ་མིར་ཐ་ཚིག་བསྒྲགས་ནས་ཁང་པའི་ནང་སྡོད་དགོས་པ་དང་མཁའ་རླུང་སྙོམས་སྒྲིག་འཕྲུལ་ཆས་སྒོ་རྒྱག་དགོས་པ་ལས་རང་འབབ་ཆུ་འཐུང་མི་རུང་ཞེས་བཤད་པ་རེད།
Scotturb 403 路公共汽车定期发车前往辛特拉 (Sintra)，在罗卡角停靠。	Scoturb 403 གྱི་སྤྱི་སྤྱོད་རླངས་འཁོར་དུས་བཀག་ལྟར་བཏང་ནས་ཤིན་ཐེ་ལ(Sintra)ལ་འགྲོ་རྒྱུ་ཡིན་པ་དང་། ལུའོ་ཁ་ཅའོ་རུ་སྡོད་ཀྱི་ཡོད།
也可以到北部参观法蒂玛圣母院（圣地），它是举世闻名的圣母玛丽亚显现之地。	བྱང་རྒྱུད་དུ་ཧྥ་ཏི་མ་ཡེ་ཤུའི་མ་ཡུམ་མཆོད་ཁང་(གནས་མཆོག)ལ་ལྟ་སྐོར་བྱེད་པར་བསྐྱོད་ཆོག་པ་དང་། དེ་ནི་འཛམ་གླིང་ཐོག་སྐད་གྲགས་ཆོད་པའི་ཡེ་ཤུའི་ཡུམ་མ་ལེ་ཡ་མངོན་གསལ་དོད་པའི་ས་ཆ་ཞིག་རེད།
请记住，你其实是在参观一个巨大的万人坑遗址，该遗址对世界上一大群体有着难以估量的意义。	སེམས་ལ་བཟུང་ཤིག ཁྱེད་ཀྱིས་དོན་དངོས་ཐོག་མི་ཁྲིའི་དོང་གི་གནའ་ཤུལ་ཞིག་ལ་ལྟ་སྐོར་བྱས་པ་དེས་འཛམ་གླིང་ཐོག་གི་ཚོགས་སྤྱི་ཆེན་པོ་ཞིག་ལ་དཔོག་དཀའ་བའི་དོན་སྙིང་ལྡན་ཡོད།
还是有许多男女在这里幸存了下来，他们如今仍然健在；而更多人的亲人，有的在那里被屠杀，有的一直做苦工到死，犹太人和非犹太人都是如此。	ད་དུང་ཕོ་མོ་མང་པོ་ཞིག་དེ་གར་སྲོག་ཉེན་ལས་ཐར་བ་དང་ཁོང་ཚོ་ད་ཆ་སྔར་བཞིན་འཚོ་སྡོད་བྱེད་ཀྱི་ཡོད། འོན་ཀྱང་མི་དེ་བས་མང་བའི་གཉེན་ཉེ་ཡོད་པ་དང་། ལ་ལ་དེ་གར་དམར་གསོད་བཏང་བ། ལ་ལས་དུས་རྟག་ཏུ་དཀའ་ལས་བརྒྱབ་ནས་ཤི་བ། ཡ་གུ་དཱ་པ་དང་ཡ་གུ་དཱ་པ་མིན་པ་ཚང་མ་དེ་ལྟར་རེད།
请给予此地应得的尊严、庄严和尊重。不要用大屠杀或纳粹开玩笑。	ས་ཆ་འདིར་ཐོབ་འོས་པའི་ལ་རྒྱ་དང་གཟི་བརྗིད་དང་བརྩི་འཇོག་གནང་རོགས། དམར་གསོད་ཆེན་པོའམ་ན་ཙི་རྩེད་མོ་མ་རྩེད།
切勿在建筑物上做标记或涂鸦，以免破坏遗址。	འཛུགས་སྐྲུན་དངོས་པོའི་སྟེང་དུ་རྟགས་རྒྱག་པ་འམ་ཡང་ན་ཡི་གེ་བྲིས་ནས་རྗེས་ཤུལ་ལ་གཏོར་བརླག་མི་བྱེད་པའི་ཆེད་དུ།
巴塞罗那的官方语言为加泰罗尼亚语和西班牙语。大约一半的当地人更愿意说加泰罗尼亚语，绝大多数人都听懂加泰罗尼亚语，至于西班牙语，几乎每个人都能听懂。	པ་སའེ་ལུའོ་ནའི་གཞུང་ཕྱོགས་ཀྱི་སྐད་ཡིག་ནི་ཅ་ཐའེ་ལུའོ་ཉི་ཡ་སྐད་དང་སི་ཕེན་གྱི་སྐད་རེད། ཧ་ལམ་ས་ཆ་དེ་གའི་མི་ཕྱེད་ཀ་ཙམ་གྱིས་ཅ་ཐའེ་ལུའོ་ཉི་ཡ་སྐད་ཤོད་འདོད་བྱེད་ཀྱི་ཡོད། མི་མང་ཆེ་བས་ཅ་ཐའེ་ལུའོ་ཉི་ཡ་སྐད་གོ་ཤེས་ཀྱི་ཡོད། སི་ཕེན་གྱི་སྐད་ལ་ཆ་མཚོན་ན་མི་ཚང་མས་གོ་གི་ཡོད།
然而，大多数指示牌都只使用加泰罗尼亚语，因为这是法律规定的第一官方语言。	འོན་ཀྱང་ཕྱོགས་སྟོན་བྱང་བུ་མང་ཆེ་བར་ཅ་ཐའེ་ལུའོ་ཉི་ཡ་སྐད་ཁོ་ན་ལས་བེད་སྤྱོད་བྱེད་བཞིན་ཡོད། དེ་ནི་བཅའ་ཁྲིམས་ཀྱིས་གཏན་འབེབས་བྱས་པའི་གཞུང་ཕྱོགས་ཀྱི་སྐད་ཡིག་དང་པོ་དེ་ཡིན་པས་རེད།
然而，公共交通和其他设施也广泛使用西班牙语。	འོན་ཀྱང་སྤྱི་པའི་འགྲིམ་འགྲུལ་དང་སྒྲིག་བཀོད་གཞན་དག་གིས་ཀྱང་སི་ཕེན་གྱི་སྐད་རྒྱ་ཁྱབ་ངང་སྤྱོད་ཀྱི་ཡོད།
地铁里的定期广播只有加泰罗尼亚语，但自动系统会用多种语言进行临时广播，包括西班牙语、英语、法语、阿拉伯语和日语。	ས་འོག་ལྕགས་ལམ་ནང་གི་དུས་བཀག་རླུང་འཕྲིན་ནི་ཅ་ཐའེ་ལུའོ་ཉི་ཡ་སྐད་ཁོ་ན་ལས་མེད་མོད།འོན་ཀྱང་རང་འགུལ་མ་ལག་གིས་སྐད་རིགས་སྣ་ཚོགས་སྤྱད་དེ་གནས་སྐབས་རླུང་འཕྲིན་གཏོང་གི་ཡོད་པ་དེའི་ནང་སི་ཕེན་གྱི་སྐད་དང་།དབྱིན་སྐད།ཧྥ་རན་སེའི་སྐད།ཨ་རབ་ཀྱི་སྐད།རི་པིན་གྱི་སྐད་བཅས་ཚུད་ཡོད།
日本原子能机构表示，核电站检测出了放射性物质铯和碘。	འཇར་པན་གྱི་རྡུལ་ཕྲན་ནུས་པའི་སྒྲིག་གཞིས་ཉིང་རྡུལ་གློག་ཁང་གིས་འགྱེད་འཕྲོའི་རང་བཞིན་གྱི་དངོས་པོའི་སེ་དང་ཏེན་ལ་ཞིབ་དཔྱད་ཚད་ལེན་བྱས་ཡོད་ཅེས་བཤད་པ་རེད།
巴黎人是出了名的以自我中心、粗鲁和傲慢。	པ་ལིའི་མི་ནི་མིང་དུ་གྲགས་པའི་རང་ཉིད་ལྟེ་བ།  རྩུབ་པོ་དང་ཁེངས་དྲེགས་བཅས་ཡིན།
虽然这通常只是一种不准确的刻板印象，但在巴黎生活的最佳方式仍然是尽量举止得当，表现得像一个有 “bien élevé”（教养良好）的人。这会让参加社会活动变得容易得多。	འདི་ནི་སྤྱིར་བཏང་དུ་ཡང་དག་མིན་པའི་འགྱུར་མེད་ཀྱི་བག་ཆགས་ཤིག་ཡིན་མོད། འོན་ཀྱང་པ་ལིའི་འཚོ་བའི་བྱེད་སྟངས་བཟང་ཤོས་ནི་སྔར་བཞིན་གང་ཐུབ་ཅི་ཐུབ་ཀྱིས་སྤྱོད་སྟངས་འཚམ་པོ་ཞིག་ཡིན་པ་དང་།“bieneleve”(སློབ་སྐྱོང་ཡག་པོ་)ཡོད་པའི་མི་ཞིག་དང་འདྲ་བ་རེད། འདིས་སྤྱི་ཚོགས་ཀྱི་བྱེད་སྒོར་ཞུགས་རྒྱུ་ཧ་ཅང་ལས་སླ་མོ་ཞིག་ཏུ་འགྱུར་ངེས་རེད།
如果你表现出一点基本的礼貌，巴黎人粗鲁的表现很快就会消失无踪。	གལ་ཏེ་ཁྱོད་ཀྱིས་གཞི་རྩའི་གུས་ཞབས་ཤིག་མངོན་ན།པ་ལིའི་མིའི་རྩུབ་སྤྱོད་ཀྱི་རྣམ་འགྱུར་དེ་མྱུར་དུ་མེད་པར་གྱུར་བ་རེད།
普利特维茨湖国家公园森林茂密，主要树种有山毛榉、云杉和冷杉，并以高山和地中海植被混合为特色。	ཕུའུ་ལི་ཐེ་ཝུའེ་ཚི་མཚེའུ་རྒྱལ་ཁབ་སྤྱི་གླིང་དུ་ནགས་ཚལ་སྟུག་པོ་ཡོད་པ་དང་ཤིང་རིགས་གཙོ་བོར་སྡོང་ཆེན་དང་།གསོམ་ཤིང་།ཐང་ཤིང་བཅས་ཡོད་པ་མ་ཟད།རི་མཐོ་བ་དང་ས་དབུས་རྒྱ་མཚོའི་སྔོ་ཁེབས་མཉམ་བསྲེས་ཁྱད་ཆོས་སུ་བྱས་ཡོད།
由于小气候、土壤和海拔高度的多样性，这里的植物群落种类非常丰富，并因此闻名于世。	གནམ་གཤིས་དང་།  ས་རྒྱུ།  ས་བབ་བཅས་ལ་སྣ་མང་རང་བཞིན་ལྡན་པའི་དབང་གིས་དེ་གའི་རྩི་ཤིང་སྣ་ཁ་ཧ་ཅང་ཕུན་སུམ་ཚོགས་པོ་ཡོད་པ་མ་ཟད།  འཛམ་གླིང་དུ་སྐད་གྲགས་ཆོད་ཡོད།
该地区也是各类动物和鸟类的家园。	ས་ཁུལ་འདི་ཡང་སྲོག་ཆགས་དང་བྱ་རིགས་སྣ་ཚོགས་ཀྱི་ཁྱིམ་གཞིས་ཡིན།
在那里可以看到欧洲棕熊、狼、鹰、猫头鹰、猞猁、野猫和松鸡等稀有动物以及许多更常见的物种	དེ་ནས་ཡོ་རོབ་ཀྱི་དྲེད་མོང་དང་། སྤྱང་ཀི བྱ་རྒོད། འུག་པ། གཡི་ཡི་དང་། རི་སྐྱེས་བྱི་ལ་སོགས་ཤིན་ཏུ་དཀོན་པའི་སྲོག་ཆགས་དང་དེ་བཞིན་རྒྱུན་མཐོང་གི་སྲོག་ཆགས་མང་པོ་ཞིག་མཐོང་ཐུབ་པ་རེད།
女性在参观修道院时必须穿裙子，裙子必须及膝，肩膀也要覆盖住。	བུད་མེད་ཀྱིས་དགེ་སྒྲུབ་ཁང་ལ་ལྟ་སྐོར་བྱེད་སྐབས་ངེས་པར་དུ་སྨད་གཡོགས་གྱོན་དགོས་པ་དང་།  སྨད་གཡོགས་ངེས་པར་དུ་པུས་མོ་དང་།  ཕྲག་པ་ཡང་ཁེབས་དགོས།
